10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.marketing.client.dll (Sitecore.Marketing.Client, 1.0.0 rev. 141201)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.marketing.definitions.marketingassets.repositories.dll (Sitecore Marketing Asset Repositories 1.0.0, 1.0.0 rev. 150126)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.marketing.dll (Sitecore.Marketing, 8.0 rev. 150621)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.marketing.taxonomy.dll (Sitecore.Marketing.Taxonomy, 8.0 rev. 150621)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.mvc.analytics.dll (Sitecore Mvc Analytics 1.0.0, 1.0.0 rev. 141017)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.mvc.devicesimulator.dll (Sitecore Mvc Device Simulators 1.0.0, 1.0.0 rev. 140611)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.mvc.dll (Sitecore Mvc 1.0.0, 1.0.0 rev. 150127)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.mvc.experienceeditor.dll (Sitecore Mvc Experience Editor, 1.0.0 rev. 150323)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.nexus.dll (Sitecore.Nexus)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.nvelocity.dll (Sitecore CMS, Sitecore Macro Expansion Library, 6.6.0 rev. 120918)
10140 20:55:46 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.oracle.dll (Sitecore CMS, Oracle Data Provider for Sitecore, 8.0 rev. 150621)
